team1,team2,team1-goals,team2-goals
Oral Roberts,Colorado State,80,109
Appalachian State,Iona,53,65
Saint Peter's,VCU,54,57
Central Michigan,Missouri,68,78
Akron,Ohio State,66,67
Siena,St. Bonaventure,47,75
Quinnipiac,Maryland,69,83
North Florida,Texas Tech,74,89
Bellarmine,Purdue,67,96
Navy,Virginia,66,58
Maine,Virginia Tech,47,82
Lafayette,Syracuse,63,97
Loyola Maryland,North Carolina,67,83
Presbyterian,Clemson,53,64
Mount St. Mary's,Villanova,51,91
Central Connecticut State,Connecticut,48,99
UAPB,Creighton,77,90
UT Martin,Tennessee,62,90
Louisiana-Monroe,LSU,39,101
Elon,Florida,61,74
Morehead State,Auburn,54,77
Mercer,Arkansas,61,74
Louisiana Tech,Alabama,64,93
Hofstra,Houston,75,83
Houston Baptist,Texas,48,92
Northwestern State,Oklahoma,59,77
Abilene Christian,Utah,56,70
Dixie State,Gonzaga,63,97
Coppin State,Loyola Chicago,45,103
Grambling State,Grand Canyon,53,74
Cleveland State,BYU,59,69
Montana State,Colorado,90,94
UC Riverside,San Diego State,53,66
Eastern Washington,Nevada,76,91
UT Arlington,Oklahoma State,45,88
Northeastern,Colgate,58,65
St. Francis Brooklyn,Wisconsin,58,81
Kansas,Michigan State,87,74
Longwood,Iowa,73,106
Jackson State,Illinois,47,71
Oakland,West Virginia,53,60
Texas Southern,Oregon,66,83
Portland State,Oregon State,64,73
Belmont,Ohio,80,92
North Carolina A&T,UNCG,53,57
Neumann,Drexel,74,103
UC Davis,Utah State,72,69
Hartford,Wagner,59,77
Miami (OH),Georgia Tech,72,69
Oklahoma Christian,North Texas,53,84
CSUN,USC,49,89
Bakersfield,UCLA,58,95
Bridgewater (VA),Norfolk State,56,79
Coe,Drake,61,87
Mary Baldwin,Winthrop,78,110
Buffalo,Michigan,76,88
Penn,Florida State,70,105
Lehigh,Rutgers,70,73
San Francisco State,UC Santa Barbara,65,119
Regent,Liberty,24,85
Kennesaw State,Creighton,44,51
George Washington,Maryland,64,71
Penn State-Wilkes-Barre,Norfolk State,55,111
Niagara,Ohio State,74,84
North Florida,Grand Canyon,51,65
Radford,Virginia,52,73
Pittsburgh,West Virginia,59,74
Brown,North Carolina,87,94
Wofford,Clemson,68,76
Stetson,Georgia Tech,52,77
Virginia Tech,Navy,77,57
Villanova,UCLA,77,86
SMU,Oregon,63,86
Texas State,LSU,59,84
Rice,Houston,46,79
South Dakota State,Alabama,88,104
Utah State,Richmond,85,74
Abilene Christian,Texas A&M,80,81
Texas Southern,Saint Mary's,58,67
SW Christian University,Oral Roberts,50,121
San Diego State,BYU,60,66
Hartford,Campbell,67,68
Eastern Washington,UC Davis,76,84
Grambling State,Texas Tech,62,88
Oakland,Oklahoma State,56,55
UTSA,Oklahoma,44,96
Tarleton State,Kansas,62,88
Green Bay,Wisconsin,34,72
Indiana State,Purdue,67,92
Kansas City,Iowa,57,89
Arkansas State,Illinois,53,92
Oregon State,Iowa State,50,60
Incarnate Word,Baylor,60,87
Morehead State,UAB,71,85
UNCG,Northern Kentucky,70,69
Harvard,Iona,87,90
Ohio,Cleveland State,67,56
Florida Gulf Coast,Loyola Chicago,77,89
Colgate,North Carolina State,74,77
Dartmouth,Georgetown,69,60
Wagner,VCU,58,44
Gardner-Webb,Arkansas,69,86
Texas,Gonzaga,74,86
Coppin State,Connecticut,54,89
New Mexico,Colorado,76,87
Vermont,Maryland,57,68
Merrimack College,Rutgers,35,48
Prairie View A&M,Michigan,49,77
Hartford,Army,79,86
Mercer,Winthrop,85,88
Norfolk State,Tennessee State,66,59
USC,Temple,76,71
Canisius,St. Bonaventure,60,69
Drexel,Syracuse,60,75
Florida State,Florida,55,71
East Tennessee State,Tennessee,62,94
South Dakota,Drake,50,99
Prairie View A&M,Oklahoma State,59,72
Bowling Green,Ohio State,58,89
Robert Morris,Ohio,71,85
Liberty,LSU,58,74
Radford,Virginia Tech,39,65
Bryant,Clemson,70,93
Lamar,Georgia Tech,66,75
Providence,Wisconsin,63,58
Illinois,Marquette,66,67
Kansas City,Missouri,80,66
Alcorn State,Gonzaga,57,84
Maine,Colorado,46,90
Coppin State,UNCG,48,55
Oregon State,Tulsa,58,64
Prairie View A&M,Texas Tech,49,84
Nicholls,Baylor,60,89
Walla Walla University,Eastern Washington,71,111
Texas Southern,Washington,65,72
Kentucky Christian,Morehead State,57,82
Buffalo,North Texas,69,66
Long Beach State,UCLA,79,100
UC Santa Barbara,Washington State,65,73
Hofstra,Iona,74,82
USC,Florida Gulf Coast,78,61
Massachusetts-Lowell,Oklahoma State,58,80
Virginia,Houston,47,67
North Carolina,Charleston,94,83
Howard,Villanova,81,100
Seton Hall,Michigan,67,65
American University,Georgetown,57,79
Creighton,Nebraska,77,69
South Alabama,Alabama,68,73
Chicago State,Loyola Chicago,56,92
BYU,Oregon,81,49
NJIT,Rutgers,61,75
Abilene Christian,UT Arlington,80,71
Winthrop,Middle Tennessee,65,76
Edinboro,Cleveland State,61,75
William & Mary,Norfolk State,74,91
Wright State,Purdue,52,96
North Carolina Central,Iowa,69,86
Colgate,Cornell,68,78
North Florida,UCLA,63,98
Central Arkansas,Baylor,47,92
Oklahoma State,North Carolina State,74,68
Tulane,Florida State,54,59
LIU,Connecticut,40,93
VCU,Vanderbilt,48,37
Northern Iowa,Arkansas,80,93
Drexel,Saint Joseph's,78,75
George Mason,Maryland,71,66
Prairie View A&M,Grand Canyon,64,91
Northern Colorado,Texas,49,62
Texas Southern,Air Force,57,61
Northern Illinois,Missouri,37,54
St. Bonaventure,Boise State,67,61
Penn,Utah State,79,87
Clemson,Temple,75,48
Oklahoma,East Carolina,79,74
Elon,West Virginia,68,87
Saint Francis U,Virginia Tech,55,85
Ohio State,Xavier,65,71
Rutgers,DePaul,70,73
Milwaukee,Florida,45,81
McNeese State,LSU,46,85
Stony Brook,Kansas,59,88
Haskell,Oral Roberts,46,89
Arizona State,San Diego State,63,65
Alabama State,Iowa,82,108
Boston University,Hartford,75,70
UT Arlington,North Texas,36,64
Green Bay,UNCG,58,60
Polytechnic University,Colgate,50,97
Transylvania,Morehead State,59,84
Samford,Oregon State,78,77
Ohio,Kentucky,59,77
Norfolk State,Bowling Green,90,84
Liberty,Iona,50,54
Bellarmine,Gonzaga,50,92
Coppin State,Virginia,52,68
Georgia Tech,Georgia,88,78
Brown,Creighton,57,78
Southern Illinois,Colorado,67,63
Oakland,Alabama,59,86
Hofstra,Maryland,67,69
Eastern Washington,CSUN,67,64
UNCG,Massachusetts,90,93
Siena,Georgetown,65,83
New Mexico State,Utah State,58,85
St. Bonaventure,Clemson,68,65
Oklahoma,Indiana State,87,63
Marquette,West Virginia,82,71
Canisius,Cleveland State,70,80
Manhattan,Liberty,76,60
Oral Roberts,Central Arkansas,67,70
Michigan,UNLV,74,61
Colgate,Syracuse,100,85
Villanova,Tennessee,71,53
Purdue,North Carolina,93,84
Chattanooga,VCU,56,54
Winthrop,Vanderbilt,63,77
Richmond,Drake,70,73
Binghamton,Connecticut,63,87
Texas Tech,Incarnate Word,84,62
Chicago State,UC Santa Barbara,50,81
UT Arlington,San Diego State,62,68
San Jose State,Texas,45,79
UIC,Loyola Chicago,63,80
Stanford,Baylor,48,86
Central Methodist,BYU,61,97
Iona,North Alabama,81,65
Texas State,Eastern Washington,81,74
Duquesne,Colorado,76,84
Texas Southern,North Carolina State,57,65
Merrimack College,Virginia Tech,43,72
Florida State,Loyola Marymount,73,45
Norfolk State,Xavier,48,88
Morehead State,Mississippi State,46,66
Missouri,SMU,80,75
Princeton,Oregon State,81,80
UNCG,FIU,71,74
Colorado State,Creighton,95,81
Utah State,Oklahoma,73,70
St. Bonaventure,Marquette,70,54
Clemson,West Virginia,59,66
Michigan,Arizona,62,80
Villanova,Purdue,74,80
Tennessee,North Carolina,89,72
Western Michigan,Iowa,61,109
Mount St. Mary's,Ohio,59,73
Gonzaga,Central Michigan,107,54
UCLA,Bellarmine,75,62
Charleston Southern,Georgia Tech,70,85
Texas A&M,Wisconsin,58,69
Tulane,Drexel,90,87
Butler,Houston,52,70
Illinois,Cincinnati,51,71
Virginia,Georgia,65,55
Arkansas,Kansas State,72,64
Oregon,Chaminade,73,49
Belmont,LSU,53,83
Florida,California,80,60
Dixie State,USC,71,98
Coppin State,Cleveland State,62,65
Seton Hall,Ohio State,76,79
Wyoming,Grand Canyon,68,61
Charleston,Oklahoma State,66,96
Lafayette,Rutgers,53,51
Winthrop,Washington State,86,92
Brown,Colorado,52,54
Creighton,Southern Illinois,66,64
Florida State,Missouri,81,58
Omaha,Texas Tech,40,96
Bethune-Cookman,Liberty,51,59
UNC Asheville,North Carolina,53,72
Rogers State,Oral Roberts,31,91
Gonzaga,UCLA,83,63
Hartford,Merrimack College,60,75
Regent,Norfolk State,20,95
Wisconsin,Houston,65,63
Drexel,Charlotte,67,55
Illinois,Kansas State,72,64
Cincinnati,Arkansas,67,73
Virginia,Providence,58,40
Oregon,Saint Mary's,50,62
Memphis,Virginia Tech,69,61
VCU,Syracuse,67,55
Boston University,Florida State,80,81
Loyola Chicago,Michigan State,61,63
Houston Baptist,Oklahoma,40,57
California Baptist,Texas,44,68
Connecticut,Auburn,115,109
Colgate,Harvard,84,89
Life Pacific,Grand Canyon,47,82
Texas Southern,BYU,64,81
Tarleton State,Michigan,54,65
North Carolina Wesleyan,UNCG,61,80
Arizona State,Baylor,63,75
UAPB,UC Santa Barbara,58,86
Florida,Ohio State,71,68
Drexel,Jacksonville State,64,72
Houston,Oregon,78,49
Wisconsin,Saint Mary's,61,55
